raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
STE MODERNE DE CONDITIONNEMENT,Monastir,Zeramdine,"Industrie du papier et du carton, édition et imprimerie",RIADH JAIDANE,(216-)  29 509 014/ 73 410 469,walidzayene@somocergroup.com,55,NON TOTALEMENT EXPORTATRICE
EVO TECHNIC,Monastir,Moknine,Fabrication d'autres produits non métalliques,FETHI JERBI,(216-)  29 144 736,,13,NON TOTALEMENT EXPORTATRICE
TECHNICAL ABRASIVES PRODUCT,Monastir,Moknine,Fabrication d'autres produits non métalliques,ADEL GHADDAB,(216-)  73 439 044/ 73 474 315,commercial.top@gnet.tn,20,NON TOTALEMENT EXPORTATRICE
STE HLEIBA LAND,Monastir,Bekalta,Industries agricoles et alimentaires,FREDJ BELKACEM,(216-)  50 505 710/ 50 505 708,fr.belkacem@laposte.net,12,NON TOTALEMENT EXPORTATRICE
MOBITECNO INDUSTRIE,Ben arous,Boumhal,Métallurgie et travail des métaux,ENRICO FOSSATI,(216-)  36 161 603/ 29 838 082,commercial@mobitecno.tn,16,NON TOTALEMENT EXPORTATRICE
TEBOURTEX,Beja,Teboursouk,Industries textiles et habillement,NABIL HADJ SALAH,(216-)  54 060 445,,59,TOTALEMENT EXPORTATRICE
GLOBAL PRINTING ET PACKAGING,Sfax,Sakiet ezzit,"Industrie du papier et du carton, édition et imprimerie",CHEMA TRIKI,(216-)  74 867 001,contact@gpp.tn,45,NON TOTALEMENT EXPORTATRICE
KABADOU SAMI,Sfax,El hencha,Industries textiles et habillement,SAMI KABADOU,(216-)  22 493 004,,15,NON TOTALEMENT EXPORTATRICE
STE ALCOVET,Mahdia,Boumerdes,Industries textiles et habillement,MONDHER BEN HADJ ABDELAZIZ,(216-)  96 047 008,,22,TOTALEMENT EXPORTATRICE
STE BEN SAID PLAST,Mahdia,Boumerdes,Autres industries manufacturières,SALAH SAID,(216-)  70 014 362,bilel.benbraiek@bsp.com.tn,100,NON TOTALEMENT EXPORTATRICE
STE GHACHEM TEKAYA CONFECTION,Monastir,Teboulba,Industries textiles et habillement,ZOHRA GHACHEM,(216-)  73 479 076,chico.hamida@gmail.com,58,TOTALEMENT EXPORTATRICE
STE ALIMENTS COMPOSES,Gabes,Mareth,Industries agricoles et alimentaires,ALI HADJ BELGUECEM,(216-)  75 228 491/ 25 207 381,sacomgabes@yahoo.com,11,NON TOTALEMENT EXPORTATRICE
HANACEM TUNISIA,Gabes,Gabes ville,Fabrication d'autres produits non métalliques,ENES AGAOGLU,(216-)  95 267 037,hanacem@hanacem.tn,60,TOTALEMENT EXPORTATRICE
TFC,Monastir,Ouerdanine,Industries textiles et habillement,OUSSAMA KHOUJA,(216-)  97 221 935/ 97 274 428,,15,TOTALEMENT EXPORTATRICE
TECHNIQUE DU PAPIER EN CONTINU,Sfax,Sfax ville,"Industrie du papier et du carton, édition et imprimerie",MONCEF TRIKI,(216-)  98 460 612,mohamedyaich8@gmail.com,20,NON TOTALEMENT EXPORTATRICE
STE MERY'S ET CO,Monastir,Ouerdanine,Industries textiles et habillement,CLELIA MEDICI,(216-)  73 533 100,anis-confection@gnet.tn,16,TOTALEMENT EXPORTATRICE
S.H.T.S,Sfax,Mahres,Industries textiles et habillement,SAMEH BIBI,(216-)  74 290 093,,15,NON TOTALEMENT EXPORTATRICE
S.G.A,Sfax,Sfax sud,Industries agricoles et alimentaires,MOHAMED MEZGHANI,(216-)  74 219 844,,10,NON TOTALEMENT EXPORTATRICE
HUILERIE EZZAYATINE,Sfax,Sfax ville,Industries agricoles et alimentaires,SLIM CHAABENE,(216-)  74 658 440,,11,NON TOTALEMENT EXPORTATRICE
STE DE BETON ET SERVICE,Gabes,Gabes sud,Fabrication d'autres produits non métalliques,FETHI KHAZRAOUI,(216-)  27 234 003,,16,NON TOTALEMENT EXPORTATRICE
STE HUILERIE FRERES BEN MASSAOUED,Mahdia,Essouassi,Industries agricoles et alimentaires,ADEL BEN MASSAOUED,(216-)  98 634 978,,11,NON TOTALEMENT EXPORTATRICE
TECHNOLOGY INDUSTRY,Zaghouan,Zriba,Métallurgie et travail des métaux,SAMI MARROUKI,(216-)  71 700 762/ 25 520 018,s.marrouki@gnet.tn,11,NON TOTALEMENT EXPORTATRICE
MOHAMED OUERDI,Kairouan,Echrarda,Industries agricoles et alimentaires,MOHAMED OUERDI,,,10,NON TOTALEMENT EXPORTATRICE
STE CONSOMMABLE MEDICALE EXPORT,Kairouan,Kairouan nord,Industries textiles et habillement,HAMZA ALOUINI,(216-)  77 275 454,export@conso-med.com,23,TOTALEMENT EXPORTATRICE
STE HUILERIE ESSALELM,Kairouan,Haffouz,Industries agricoles et alimentaires,SAMI TAYAHI,(216-)  98 294 949,huilerie.essalem@gmail.com,10,NON TOTALEMENT EXPORTATRICE
MOHAMED AMARI,Kairouan,Sidi amor bouhajla,Industries agricoles et alimentaires,MOHAMED AMARI,,,10,NON TOTALEMENT EXPORTATRICE
STE EL MTHANIN,Kairouan,Sidi amor bouhajla,Industries agricoles et alimentaires,KADHEM SIDAOUI,(216-)  97 957 563,kamelsid.avocat@gmail.com,10,NON TOTALEMENT EXPORTATRICE
STE MODERNE DE TEXTILE,Sfax,El hencha,Industries textiles et habillement,FAKHER CHTOUROU,(216-)  23 531 203,,32,NON TOTALEMENT EXPORTATRICE
STE LACMETAL,Sfax,Menzel chaker,Métallurgie et travail des métaux,HICHEM AMMOUS,(216-)  74 453 226/ 74 453 217,,12,NON TOTALEMENT EXPORTATRICE
STE VOLTEQ PLUS,Sfax,Menzel chaker,Industrie du caoutchouc et des plastiques,MOHAMED HEDI AMMOUS,(216-)  74 453 960,,11,NON TOTALEMENT EXPORTATRICE
STE DE CONFECTION A L'EXPORTATION L'AVENIR,Sfax,El hencha,Industries textiles et habillement,FATHI ZOUARI,(216-)  27 651 057/ 74 842 077,,30,TOTALEMENT EXPORTATRICE
BOTRIA OIL COMPANY,Sfax,Jebeniana,Industries agricoles et alimentaires,ADNENE ZRIBI,(216-)  24 505 000/ 74 830 640,,10,NON TOTALEMENT EXPORTATRICE
LES LABORATOIRES K & R,Sfax,Menzel chaker,Industries agricoles et alimentaires,MOHAMED KALLEL,(216-)  28 193 000,,12,NON TOTALEMENT EXPORTATRICE
STE AGRICOLE EL AKREMI,Sfax,El hencha,Industries agricoles et alimentaires,NOUREDDINE SGHAIER,(216-)  98 515 539,,10,NON TOTALEMENT EXPORTATRICE
TUNISIAN FASHION GARMENT,Sfax,Bir ali ben khelifa,Industries textiles et habillement,KHALED M'ZID,(216-)  55 888 333,bbenzayed@aramysgroupe.com,60,NON TOTALEMENT EXPORTATRICE
STE BAYA CO,Sousse,Sidi bou ali,Industries textiles et habillement,NAIM BEN HALIMA,(216-)  73 247 096,baya.co2017@gmail.com,120,TOTALEMENT EXPORTATRICE
ADATEX,Sousse,Sidi bou ali,Industries textiles et habillement,SLAHEDDINE ABBASSI,(216-)  73 247 199,hichem.mani@adatex.tn,116,TOTALEMENT EXPORTATRICE
BROTHERS INDUSTRIAL SEWING,Sousse,Sidi el hani,Industries textiles et habillement,MUSTAPHA BEN MERIEM,(216-)  98 403 512/ 98 437 047,,36,TOTALEMENT EXPORTATRICE
STE IMPERIAL FASHION,Sousse,Akouda,Industries textiles et habillement,XENOFON PANTAZIS,(216-)  73 308 501,zina.younes@imperial-fashion.co.uk,280,TOTALEMENT EXPORTATRICE
STE CHIHEB PRODUCTION,Sousse,Kalaa kebira,Industries textiles et habillement,CHIHEB CHEMLI,(216-)  54 759 993/ 31 534 430,chiheb.production@gmail.com,65,TOTALEMENT EXPORTATRICE
MATHILDE CREATION TUNISIE,Sousse,Ksiba Zaouia Thrayet,Industrie chimique,PIERRE PLASSARD,(216-)  73 386 418,finance@mathilde-creation.tn,13,TOTALEMENT EXPORTATRICE
STE ELLATAFA,Sousse,Ksiba Zaouia Thrayet,Industrie du caoutchouc et des plastiques,MOKHTAR YOUNES,(216-)  22 210 110/ 73 390 283,info@ellatafa.com,22,NON TOTALEMENT EXPORTATRICE
STE SAR TEXTILE,Sousse,Kalaa kebira,Industries textiles et habillement,MOURAD CHENITI,(216-)  26 960 960,sartextile@topnet.tn,100,TOTALEMENT EXPORTATRICE
STE KMAR CONFECTION,Sfax,Sfax sud,Industries textiles et habillement,MAJDI SALLEMI,(216-)  25 155 000,,22,NON TOTALEMENT EXPORTATRICE
STE LAAMARI D'ENTREPOSAGE FRIGORIFIQUE,Siliana,Rouhia,Industries agricoles et alimentaires,MOURAD LAAMARI,(216-)  90 180 421,mouradlaamari1@hotmail.fr,14,NON TOTALEMENT EXPORTATRICE
NEDERLANDS CONFECTION,Bizerte,Bizerte nord,Industries textiles et habillement,SKOV BO GRONDAHL,(216-)  72 431 150/ 72 436 050,admin@nedco.com.tn,800,NON TOTALEMENT EXPORTATRICE
STE MSTEX,Mahdia,Boumerdes,Industries textiles et habillement,MOHAMED SASSI,(216-)  73 620 888,prodmstex@gmail.com,20,TOTALEMENT EXPORTATRICE
STE SATEM,Ariana,Raoued,Industrie chimique,HATEM MEZIOU,(216-)  31 323 700/ 31 323 702,satem@planet.tn,45,NON TOTALEMENT EXPORTATRICE
LA TUNISIENNE DES TECHNOLOGIES ALIMENTAIRES,Ben arous,Mornag,Industries agricoles et alimentaires,JAMEL MAJOUL,(216-)  98 466 896/ 31 402 049,tta@gnet.tn,11,NON TOTALEMENT EXPORTATRICE
STE LA PIERRE RECONSTITUEE,Nabeul,Dar chaabane e.fehri,Fabrication d'autres produits non métalliques,LOTFI MEHREZ,(216-)  24 362 274,anis.hamdoun@gmail.com,11,NON TOTALEMENT EXPORTATRICE
STE SUPER MARBRE DU CAP BON,Nabeul,Nabeul,Autres industries extractives,OLFA BOUTITI,(216-)  31 556 555/ 22 066 020,supermarbre@hotmail.fr,24,NON TOTALEMENT EXPORTATRICE
STE GHARBI CUIR,Nabeul,Nabeul,Industries du cuir et de la chaussure,MOHAMED EL GHARBI,(216-)  72 236 475/ 72 232 244,,30,TOTALEMENT EXPORTATRICE
STE CHADIA ET CIE,Monastir,Teboulba,Industries textiles et habillement,CHADIA NAKBI,(216-)  97 317 763/ 73 479 651,ste.chadia@gmail.com,15,NON TOTALEMENT EXPORTATRICE
RA,Ariana,Kalaat landalous,Industries agricoles et alimentaires,ROSARIO AURIEMMA,(216-)  98 755 664,,10,TOTALEMENT EXPORTATRICE
STE BAFORNI,Monastir,Sahline,Fabrication de machines et équipements,ABDELWAHED BEN AICHA,(216-)  73 422 055,baforni@planet.tn,30,TOTALEMENT EXPORTATRICE
IBTISSEM FASHION,Sfax,El amra,Industries textiles et habillement,IBTISSEM GHANNOUCHI,(216-)  28 036 716/ 53 440 984,,23,NON TOTALEMENT EXPORTATRICE
L'ARTISANALE,Sfax,Sfax ouest,Industries agricoles et alimentaires,ALI BEN MASSAOUD,(216-)  99 520 023,ali@masmoudi.com,12,NON TOTALEMENT EXPORTATRICE
STE SAIF DE CONFECTION,Sfax,Sfax sud,Industries textiles et habillement,AHMED MKAOUAR BEN ADEL,(216-)  23 457 067,,17,NON TOTALEMENT EXPORTATRICE
FRIGO WASSEF CHEBBI,Tozeur,Dagach,Industries agricoles et alimentaires,WASSEF CHEBBI,(216-)  98 312 916,,50,NON TOTALEMENT EXPORTATRICE
SHAUBER,Zaghouan,Ennadhour,Industries agricoles et alimentaires,ABDELFATH BARGAOUI,(216-)  95 772 052/ 72 678 462,,26,NON TOTALEMENT EXPORTATRICE
PELLET AND PALLET INDUSTRY,Zaghouan,Zriba,Travail du bois et fabrication d'articles en bois,IMED FENNIRA,(216-)  72 668 436,s.ferhani@ppi.tn,40,TOTALEMENT EXPORTATRICE
NITROKYM,Zaghouan,Bir m'cherga,Industrie chimique,SKANDER EL HADJ,(216-)  72 640 860,rahmanitarek@gmail.com,102,NON TOTALEMENT EXPORTATRICE
STE EL BARAKA DES HUILES D'OLIVES,Sidi Bouzid,Essaida,Industries agricoles et alimentaires,NABIL GUESMI,(216-)  97 640 652,,10,NON TOTALEMENT EXPORTATRICE
STE HUILERIE MESSAAOUDA,Sidi Bouzid,Jelma,Industries agricoles et alimentaires,CHERIFA MESSAAOUDA,(216-)  42 288 700/,,10,NON TOTALEMENT EXPORTATRICE
STE ONS D'INVESTISSEMENTAGRICOLE,Sidi Bouzid,Essaida,Industries agricoles et alimentaires,MOHSEN ABIDA,(216-)  98 413 636,,14,NON TOTALEMENT EXPORTATRICE
STE TIBA POUR LA PRODUCTION AGRICOLE,Sidi Bouzid,Essaida,Industries agricoles et alimentaires,MOHSEN ABIDA,(216-)  98 413 636,,14,NON TOTALEMENT EXPORTATRICE
TEXMED INTERNATIONAL,Sousse,Ksiba Zaouia Thrayet,Industries textiles et habillement,MOHAMED CHAMAKHI,(216-)  73 386 856/ 73 386 280,hajer@texmed.com.tn,90,TOTALEMENT EXPORTATRICE
BEST BRAND,Sousse,Kalaa seghira,Industries textiles et habillement,MAHER MZOUGHI,(216-)  73 299 396,sbb.confaction@gmail.com,30,TOTALEMENT EXPORTATRICE
ULYSSE MODE,Sousse,Kalaa seghira,Industries textiles et habillement,THOURAYA ELLILI,(216-)  28 111 122,ulysse.direction@gmail.com,65,TOTALEMENT EXPORTATRICE
STE SABLIA D'ORO,Sousse,Sidi el hani,Industries textiles et habillement,WALID CHENNOUFI,(216-)  98 773 469/ 22 435 990,walid.chennoufi99@gmail.com,15,TOTALEMENT EXPORTATRICE
DECCO,Sousse,Akouda,Industries textiles et habillement,NICOLAS DE CREMER,(216-)  73 357 187,rene12004@hotmail.fr,250,TOTALEMENT EXPORTATRICE
STE SISTERS,Sousse,Sidi el hani,Industries textiles et habillement,SOUAD GRAMI,(216-)  73 280 424,ste.sisters@topnet.tn,60,TOTALEMENT EXPORTATRICE
SOMOCAS,Manouba,Bordj El Aamri,Autres industries extractives,NACEUR HABIBI,(216-)  70 666 374,,14,NON TOTALEMENT EXPORTATRICE
STE DE CONDITIONNEMENT MEDITERANEEN,Manouba,Djdeida,Industries agricoles et alimentaires,ALI SIALA,(216-)  31 409 592,alisiala@gnet.tn,65,TOTALEMENT EXPORTATRICE
PRESTIGE TEXTILE,Monastir,Bembla,Industries textiles et habillement,MAKRAM HABBACHI,(216-)  73 478 043,prestigetextil2017@gmail.com,48,TOTALEMENT EXPORTATRICE
STE DAWAYTEX,Monastir,Bembla,Industries textiles et habillement,NOOMANE MEDDEB,(216-)  73 420 010,prod.dawaytex@gmail.com,116,TOTALEMENT EXPORTATRICE
LM CONFECTION,Monastir,Jammel,Industries textiles et habillement,MELEK BEN REJEB,(216-)  73 482 813,lmconfection@yahoo.com,22,TOTALEMENT EXPORTATRICE
MGM NEGOCE,Monastir,Teboulba,Industries textiles et habillement,JAMEL BRAHEM,(216-)  73 497 148,contact@mgm.com.tn,140,TOTALEMENT EXPORTATRICE
DYNEEMATEX,Monastir,Ouerdanine,Industries textiles et habillement,HABIB BEN BRAHIM,(216-)  73 588 174,,11,TOTALEMENT EXPORTATRICE
STE ARTEX,Sidi Bouzid,Mezzouna,Industries textiles et habillement,JABEUR MOKHTAR,(216-)  52 393 040,,85,TOTALEMENT EXPORTATRICE
STE MEUBLES MONCEF FRIKHA,Sfax,Sfax sud,Autres industries manufacturières,HENI FRIKHA,(216-)  74 671 196,contact@meublesmoncefrikha.com.tn,51,NON TOTALEMENT EXPORTATRICE
STE STIM PLUS,Sfax,Skhira,Métallurgie et travail des métaux,SALAH FTIRICH,(216-)  22 335 566/ 74 667 216,s.salah@planet.tn,30,TOTALEMENT EXPORTATRICE
STE DE CINTRES ET ACCESSOIRES DIVERS,Sfax,Sfax sud,Industrie du caoutchouc et des plastiques,LOTFI BOUAZIZ,(216-)  74 682 706/ 74 682 708,contact@cad-ceintre.com.tn,28,NON TOTALEMENT EXPORTATRICE
STE OASIS PLAST,Gabes,El metouia,Autres industries manufacturières,KAMEL BEN ROMDHAN,(216-)  54 231 651/,oasisplasto1@gmail.com,15,NON TOTALEMENT EXPORTATRICE
SOMEC,Gafsa,Gafsa sud,Fabrication d'autres produits non métalliques,TAREK BOUTERAA,(216-)  98 341 991/ 26 104 504,,10,TOTALEMENT EXPORTATRICE
L'ART DU BETON GAFSA,Gafsa,Gafsa sud,Fabrication d'autres produits non métalliques,ISSAM HFAIEDH,(216-)  76 210 041,,39,NON TOTALEMENT EXPORTATRICE
TECHNI TEX,Gafsa,Gafsa sud,Industries textiles et habillement,SKANDER CHANNOUF,(216-)  22 221 140,,18,NON TOTALEMENT EXPORTATRICE
STE ROYAL FASHION,Manouba,Tebourba,Industries textiles et habillement,ZAHER KANOUN,(216-)  23 555 719/,kanoun.z@planet.tn,70,TOTALEMENT EXPORTATRICE
STE MEDITERRANEENE INDUSTRIELLE DE PRODUITS DE NETTOYAGE,Sousse,Ksiba Zaouia Thrayet,Industrie chimique,LAMJED KCHOK,(216-)  73 386 640/ 58 344 644,medinetdetergent@topnet.tn,14,NON TOTALEMENT EXPORTATRICE
STE ASSOTEX,Monastir,Bembla,Industries textiles et habillement,AHMED BEN HADJ KHALIFE,(216-)  28 396 730,,17,TOTALEMENT EXPORTATRICE
STE ITALIAN TUNISIENNE D'EXTRACTION DE MARBRE,Le kef,Le kef ouest,Autres industries extractives,FRANCESCO AELLERBA,(216-)  29 843 218/ 28 222 116,,29,NON TOTALEMENT EXPORTATRICE
3D,Tunis,Sidi hassine,Industries textiles et habillement,MOHAMED DRIRA,(216-)  98 369 097,,46,TOTALEMENT EXPORTATRICE
STE BLAGUILAIT,Beja,Nefza,Industries agricoles et alimentaires,AYMEN BLAGUI,(216-)  21 536 314,aymenblagui@yahoo.fr,11,NON TOTALEMENT EXPORTATRICE
STE INTERNATIONALE CONFECTION OLIVIERS,Monastir,Moknine,Industries textiles et habillement,HABIBA EL ABED,(216-)  73 439 258,sicol2008@gmail.com,70,TOTALEMENT EXPORTATRICE
RED STAR CONFECTION,Monastir,Jammel,Industries textiles et habillement,ANIS AMAR,(216-)  73 484 001/ 98 425 430,red_conf@topnet.tn,33,TOTALEMENT EXPORTATRICE
NEW FA CONFECTION,Monastir,Moknine,Industries textiles et habillement,DOSS AMINE,(216-)  36 095 230/ 29 888 243,newfa.confection@gmail.com,86,TOTALEMENT EXPORTATRICE
STE SARA DE CONFECTION,Monastir,Jammel,Industries textiles et habillement,NEJIB KADHRAOUI,(216-)  53 177 774,idealfashion07@gmail.com,50,NON TOTALEMENT EXPORTATRICE
SELIMA CONFECTION,Sousse,Sidi bou ali,Industries textiles et habillement,FETHI ALAYA,(216-)  98 503 169,fethialeya@gmail.com,17,TOTALEMENT EXPORTATRICE
STE NOVA PLUS,Sousse,Enfidha,Industries du cuir et de la chaussure,SAMIR AMRI,(216-)  73 392 000/ 98 545 984,ste.novaplus@yahoo.fr,102,TOTALEMENT EXPORTATRICE
STE AMITEX,Sousse,Kalaa kebira,Industries textiles et habillement,AMOR BEN HASSINE,(216-)  97 645 410,,21,TOTALEMENT EXPORTATRICE
NOURRISION TUNISIE,Monastir,Sahline,Fabrication d'autres produits non métalliques,CHRISTIAN GAUCHON,(216-)  73 515 384,hanen.boudaoua@nourrision-tunisie.com,70,TOTALEMENT EXPORTATRICE
HUILERIE ALI AIFAOUI,Kairouan,Sidi amor bouhajla,Industries agricoles et alimentaires,ALI AIFAOUI,,,10,NON TOTALEMENT EXPORTATRICE
STE SELMI D'EXPLOITATION AGRICOLE,Kairouan,Sidi amor bouhajla,Industries agricoles et alimentaires,ROMDHANI MOHAMED,(216-)  97 822 303/,,10,NON TOTALEMENT EXPORTATRICE
STE SALE SARL,Kairouan,Kairouan nord,Industries textiles et habillement,MEDICI LEILA,,,16,TOTALEMENT EXPORTATRICE
STE QUEEN IMPRIME,Monastir,Ksibet el mediouni,Autres industries manufacturières,MANEL SALHI,(216-)  73 550 366/ 97 768 947,queen.imprime@gmail.com,10,NON TOTALEMENT EXPORTATRICE
STE BEKITEX,Monastir,Monastir,Industries textiles et habillement,JIHENE MBARKA,(216-)  98 588 233/,,20,TOTALEMENT EXPORTATRICE
STE HABILLEMENT TEXTILE TUNISIE,Tunis,Sidi hassine,Industries textiles et habillement,MOUNIR METHNI,(216-)  50 808 086,,16,NON TOTALEMENT EXPORTATRICE
SOCITEC TUNISIE,Sousse,Sidi Abdelhamid,Fabrication d'autres produits non métalliques,BENOIT HATTE,(216-)  97 482 010,,40,TOTALEMENT EXPORTATRICE
YOULA POPCORN,Beja,Testour,Industries agricoles et alimentaires,FAOUZI FAOUZI,(216-)  93 409 777,contact@youla-popcorn.com.tn,15,NON TOTALEMENT EXPORTATRICE
STE BETTAHER HUILE D'OLIVE,Beja,Teboursouk,Industries agricoles et alimentaires,BETTAHER ABD RAHMEN,(216-)  98 298 773,,13,NON TOTALEMENT EXPORTATRICE
STE TUNISO-ALGERIENNE DES INDUSTRIES METALLIQUES,Beja,Beja nord,Métallurgie et travail des métaux,GHOOUAT BOSALEM,(216-)  98 780 605,contact@taimet.org,123,NON TOTALEMENT EXPORTATRICE
STE MEDDEB DES PRODUITS ALIMENTAIRES,Beja,Beja nord,Industries agricoles et alimentaires,KAMEL MEDDEB,(216-)  58 511 001,info@smpa.tn,231,NON TOTALEMENT EXPORTATRICE
ADVANS PHARMA SA,Beja,Beja nord,Industrie chimique,WASSIM FEKI,(216-)  71 772 155/ 78 449 030,wassim.feki@advanspharma.com,76,NON TOTALEMENT EXPORTATRICE
STE NAIMA ANIS TEXTILE,Sousse,Kalaa seghira,Industries textiles et habillement,ANIS BEN NEJMA,(216-)  73 249 827,na-tex@topnet.tn,35,TOTALEMENT EXPORTATRICE
SA CONFECTION,Sousse,Enfidha,Industries textiles et habillement,MELAOUAH AHLEM,(216-)  52 326 552,ahlem.saconfection@topnet.tn,10,TOTALEMENT EXPORTATRICE
FABRICATION INTERNATIONALE COMPONENTI,Sousse,Msaken,Industrie du caoutchouc et des plastiques,RAFFAELE ORSANI,(216-)  31 526 963,fic.fabrication@gmail.com,49,TOTALEMENT EXPORTATRICE
STE METAL PRECISION,Sousse,Msaken,Métallurgie et travail des métaux,RACHED LADHARI,(216-)  73 286 186,finance@metalprecision.com.tn,26,NON TOTALEMENT EXPORTATRICE
STE KAN CONFECTION,Sousse,Ksiba Zaouia Thrayet,Industries textiles et habillement,KARIMA JALLOULI,(216-)  50 735 433,kan.confection@gmail.com,22,TOTALEMENT EXPORTATRICE
STE KAROUD DE RECYCLAGE DE PLASTIQUE,Sousse,Sidi Abdelhamid,Industrie du caoutchouc et des plastiques,ANIS KAROUD,,,10,NON TOTALEMENT EXPORTATRICE
STE MEDITERRANEENE DE COMMERCE,Bizerte,Menzel jemil,Métallurgie et travail des métaux,KAIS OUAKAD,(216-)  23 605 654/ 21 441 840,ouakad.kais@hexabyte.tn,40,NON TOTALEMENT EXPORTATRICE
TECHNOTEX,Bizerte,Ras el jebel,Industries textiles et habillement,AMEL NAMOUCHI,(216-)  55 399 290/ 54 533 355,zaougaaimel@gmail.com,40,TOTALEMENT EXPORTATRICE
SODRITEX,Bizerte,Ras el jebel,Industries textiles et habillement,ZOHRA DRIDI,(216-)  52 824 351,sodritex@gmail.com,25,TOTALEMENT EXPORTATRICE
BIZERTA AGRI INDUSTRY,Bizerte,Menzel jemil,Industries agricoles et alimentaires,MED AMINE SISAOUI,(216-)  70 319 886,amine.sifaoui@oilyssa.com,10,TOTALEMENT EXPORTATRICE
PHARMA CLEAN ROOM,Sousse,Akouda,Autres industries manufacturières,KAIS SAYED,(216-)  73 356 711,kais.sayed@pharmaclean.net,42,NON TOTALEMENT EXPORTATRICE
STE CAP BETON,Nabeul,Beni khiar,Autres industries manufacturières,RAOUF ABBASSI,(216-)  73 275 788/ 50 932 650,raouf.abbassi@capbeton.tn,35,NON TOTALEMENT EXPORTATRICE
STE INDUSTRIELLE DE FROMAGE,Sousse,Akouda,Industries agricoles et alimentaires,KARIM GRIGNICH,(216-)  73 308 288,contact.stif@topnet.tn,35,NON TOTALEMENT EXPORTATRICE
STE FRUIT DE BONTE AGROALIMENTAIRE,Zaghouan,Saouaf,Industries agricoles et alimentaires,BEN MANSOUR BADII,(216-)  95 200 300,benmansour.sfb@gmail.com,25,NON TOTALEMENT EXPORTATRICE
STE BAHA CONFECTION,Kairouan,Hajeb elayoun,Industries textiles et habillement,MED SGHAIER OUNI,,,44,TOTALEMENT EXPORTATRICE
STE V-TRA,Kairouan,Kairouan sud,Industries textiles et habillement,NAJIB ZANINA,(216-)  98 460 075,,50,NON TOTALEMENT EXPORTATRICE
STE AGRO-TECHNO SERVICES,Ben arous,Fouchana,Métallurgie et travail des métaux,MED MOKHTAR BEN MECHICHI,(216-)  71 366 112,nizar.compta@yahoo.com,13,NON TOTALEMENT EXPORTATRICE
STE DREAM CONFECTION COMPAGNY,Monastir,Sahline,Industries textiles et habillement,HATEM BEN YOUSSEF,(216-)  50 910 202,,45,TOTALEMENT EXPORTATRICE
STE CONFECTION DE L'AVENIR,Monastir,Zeramdine,Industries textiles et habillement,MONGI DABBABI,(216-)  98 225 780/ 73 576 949,,50,TOTALEMENT EXPORTATRICE
STE BEST STYLE,Monastir,Zeramdine,Industries textiles et habillement,BESMA OUCHEM,(216-)  73 576 404,nsmodem@gmail.com,80,TOTALEMENT EXPORTATRICE
STE CREATION ET CONFECTION,Monastir,Moknine,Industries textiles et habillement,HMIMED EL AYEB,(216-)  73 400 552/,creation.confection@gnet.tn,55,TOTALEMENT EXPORTATRICE
KHOULOUD MODE,Monastir,Jammel,Industries textiles et habillement,TAWFIK KHADHRAOUI,(216-)  73 582 971/ 97 950 960,office.khouloudmode@gmail.com,20,TOTALEMENT EXPORTATRICE
DE.COS,Monastir,Ksibet el mediouni,Industrie chimique,MAHER MHIRI,(216-)  73 584 100,deterg.cos@gmail.com,23,NON TOTALEMENT EXPORTATRICE
STE NEW POWER,Monastir,Jammel,Industries textiles et habillement,KHALED BACCAR,(216-)  22 651 305/ 98 275 365,kaled.bakkar@planet.tn,65,TOTALEMENT EXPORTATRICE
STE JUMEAUX TEX +,Monastir,Jammel,Industries textiles et habillement,FETHIA ALAYA,(216-)  98 288 564/ 73 583 051,jumeaux.tex@topnet.tn,56,TOTALEMENT EXPORTATRICE
STE TUNISIA PAPER COMPAGNY,Monastir,Jammel,"Industrie du papier et du carton, édition et imprimerie",MED MGUEREN JAMEL,(216-)  97 959 913/ 50 488 440,sotupap712@gmail.com,25,NON TOTALEMENT EXPORTATRICE
STE TRAITEMENT DELAVAGE ET FINITION,Monastir,Monastir,Industries textiles et habillement,MOEZ MAHFOUDH,(216-)  26 600 409,,25,TOTALEMENT EXPORTATRICE
STE JOLIESSE STAR,Monastir,Zeramdine,Industries textiles et habillement,MOUFIDA KABOUDI,(216-)  73 498 335/ 28 788 788,joliessestar@gmail.com,59,TOTALEMENT EXPORTATRICE
STE DASRI STERILE,Siliana,El krib,Autres industries manufacturières,SONDES BANNOURI,(216-)  31 403 701,sondes.bannouri@hotmail.fr,26,NON TOTALEMENT EXPORTATRICE
